shot	t_start	t_end	heard	speaker	scripted	match
88	5.5	7.5	ผมแค่อยากเห็นครับ	somchai	ผมแค่อยากเห็นครับ	1.0
89	0.34	3.34	เรื่องแบบนี้เขาไม่จดกันหรอกครับพี่	cherd	เรื่องแบบนี้เขาไม่จดกันหรอกครับพี่	1.0
89	3.34	6.34	มันคิดกันตามเวลานะครับ	cherd	มันคิดกันตามเวลาน่ะครับ	0.98
90	0.37	2.37	งวดนี้ผมยังไม่จ่ายครับ	somchai	งวดนี้ผมยังไม่จ่ายครับ	1.0
91	1.39	3.39	พี่พูดจริงหรือเปล่าครับ	cherd	พี่พูดจริงหรือเปล่าครับ	1.0
92	1.14	2.64	พี่คิดดีแล้วนะครับ	somchai	จริงครับ	0.38
92	3.64	4.64	จริงครับ	cherd	พี่คิดดีแล้วนะครับ	0.38
93	1.17	2.17	พ่อ	ton	พ่อ...	1.0
93	2.55	4.21	เข้าไปในร้านก่อนลูก	somchai	เข้าไปในร้านก่อนลูก	1.0
94	0.88	2.88	วันนี้ทั้งวันได้สีตัวเองนะครับ พ่อ	ton	วันนี้ทั้งวันได้สี่โต๊ะเองนะครับพ่อ	0.91
94	5.42	6.42	พ่อรู้ลูก	somchai	พ่อรู้ลูก	1.0
95	0.72	3.56	สมชาย มีคนไปพูดเท่าตลาดนะ	muay	สมชาย มีคนไปพูดแถวตลาดนะ	0.85
95	3.56	5.56	พูดว่าอะไรครับเจ๊	somchai	พูดว่าอะไรครับเจ๊	1.0
95	6.06	8.56	ว่าน้ำสุปร้านเธอไม่สะอาด	muay	ว่าน้ำซุปร้านเธอไม่สะอาด	0.96
96	0.82	2.44	ใครพูดครับเจ๊	somchai	ใครพูดครับเจ๊	1.0
96	3.2	6.02	ไม่มีใครรู้หลอก มันพูดต่อ ๆ กันมา	muay	ไม่มีใครรู้หรอก มันพูดต่อๆกันมา	0.97
97	0.72	3.52	ลุ้มครับ วันนี้คนน้อยจังเลยนะครับ	wit	ลุงครับ วันนี้คนน้อยจังเลยนะครับ	0.95
97	3.52	5.52	ช่วงนี้เงียบหน่อยนะวิทย์	somchai	ช่วงนี้เงียบหน่อยน่ะวิทย์	0.98
98	1.42	3.42	มีอะไรหรือเปล่าครับลุง	wit	มีอะไรหรือเปล่าครับลุง	1.0
98	3.42	7.42	ไม่มีอะไรหรอก กินเทวิต เดี๋ยวเส้นอื่น	somchai	ไม่มีอะไรหรอก กินเถอะวิทย์ เดี๋ยวเส้นอืด	0.85
99	1.94	3.94	รุ้มครับ ผมวางไว้ให้นะครับ	wit	ลุงครับ ผมวางไว้ให้นะครับ	0.9
99	3.94	5.94	วิทย์	somchai	วิทย์	1.0
100	0.72	2.72	ลุงเอาไว้เถอะครับ วันนี้ผมมีเยอะ	wit	ลุงเอาไว้เถอะครับ วันนี้ผมมีเยอะ	1.0
100	2.72	6.72	ลุงไม่เคยรับของวิทย์มา 20 ปี วันนี้ก็ไม่รับ	somchai	ลุงไม่เคยรับของวิทย์มายี่สิบปี วันนี้ก็ไม่รับ	0.87
100	6.72	8.72	ลุง ร้านมันเงียบขนาดนี้	wit	ลุง ร้านมันเงียบขนาดนี้...	1.0
101	0.88	2.88	ลุงยังไหวอยู่ครับวิทย์	somchai	ลุงยังไหวอยู่ครับวิทย์	1.0
102	0.14	2.14	อย่าย่าหมดตั้งแต่เมื่อวานแล้วนะครับพ่อ	ton	ยาย่าหมดตั้งแต่เมื่อวานแล้วนะครับพ่อ	0.97
102	3.14	5.14	เดี๋ยวพ่อหาให้ลูก	somchai	เดี๋ยวพ่อหาให้ลูก	1.0
103	1.68	3.68	หาจักไหนครับพ่อ	ton	หาจากไหนครับพ่อ	0.93
103	3.68	5.68	พ่อกำลังคิดอยู่	somchai	พ่อกำลังคิดอยู่	1.0
104	0.3	2.3	ไม่ต้องซื้อหลอกลูก	ya	...ไม่ต้องซื้อหรอกลูก...	0.94
104	2.3	4.3	ย่าอย่าพูดแบบนั้นครับ	ton	ย่าอย่าพูดแบบนั้นครับ	1.0
104	5.3	7.3	ย่าอยู่ได้	ya	...ย่าอยู่ได้...	1.0
105	0.0	2.0	ต้น ในบันชีพ่อเหลือเท่าหลาย	somchai	ต้น ในบัญชีพ่อเหลือเท่าไหร่ ลองเปิดดูให้พ่อทีลูก	0.64
105	2.58	4.08	ลองเปิดดูให้พ่อทีลูก	ton	พ่อจำรหัสไม่ได้เหรอครับ	0.14
105	5.06	6.46	พ่อจำระหัดไม่ได้เหรอครับ			0.0
106	0.27	3.67	พ่อไม่เคยเปิดเลยลูกตั้งแต่วันที่ลูกลงให้	somchai	พ่อไม่เคยเปิดเลยลูก ตั้งแต่วันที่ลูกลงให้	1.0
106	3.67	6.19	4 ปี ไม่เคยเปิดเลยเหรอครับ	ton	สี่ปีไม่เคยเปิดเลยเหรอครับ	1.0
106	6.19	8.19	พ่อไม่มีอะไรจะดูในลูก	somchai	พ่อไม่มีอะไรจะดูนี่ลูก	0.93
107	0.37	2.37	ลือ 320 บาทครับพ่อ	ton	เหลือสามร้อยยี่สิบบาทครับพ่อ	0.65
107			(ไม่ได้ยิน)	somchai	อือ	0.0
108	1.33	4.07	พ่อ ทำไมพ่อถอนเงินทุกวันพรึ่งหัดครับ	ton	พ่อ... ทำไมพ่อถอนเงินทุกวันพฤหัสครับ	0.9
108	4.91	6.11	ปิดเถอะ ลูก	somchai	ปิดเถอะลูก	1.0
109	1.04	4.78	2,000 บาททุกอติด ไม่เคยขาดสักครั้งเลยนะครับ	ton	สองพันบาท ทุกอาทิตย์ ไม่เคยขาดสักครั้งเลยนะครับ	0.77
109	5.28	6.28	ต้น	somchai	ต้น	1.0
110	1.17	3.17	พ่อกูมาทมหมดเท่าไหร่ครับ	ton	พ่อกู้มาทั้งหมดเท่าไหร่ครับ	0.9
110	3.17	6.97	เธอมละสองมือหน่า แปดเธอมลุก	somchai	เทอมละสองหมื่นห้า แปดเทอมลูก	0.75
110	6.97	8.97	ก็สองแสนเพราดีสิครับ	ton	ก็สองแสนพอดีสิครับ	0.89
111	0.62	3.62	เชือดบอกร่วมแล้ว เป็น 300 ลูก	somchai	เชิดบอกรวมแล้วเป็นสามแสนลูก	0.76
111	3.62	5.12	แล้วพ่อรู้ไหมครับ	ton	แล้วพ่อรู้ไหมครับว่าต้องจ่ายกี่งวด	0.67
111	5.12	7.12	ต้องจ่ายกี่งวัด			0.0
112	0.69	2.69	พ่อไม่รู้หลอกลูก	somchai	พ่อไม่รู้หรอกลูก	0.94
112	2.69	4.69	เชิดเป็นคนคิดให้	somchai	เชิดเป็นคนคิดให้	1.0
113	0.82	6.82	3.00.000 หานอธิตแล้ว 2.000 เท่ากับ 150 งวดครับพ่อ	ton	สามแสน หารอาทิตย์ละสองพัน	0.2
113	6.82	9.82	แล้วพ่อจ่ายมากี่งวดแล้วครับ	ton	เท่ากับร้อยห้าสิบงวดครับพ่อ	0.41
113			(ไม่ได้ยิน)	ton	แล้วพ่อจ่ายมากี่งวดแล้วครับ	0.0
114	0.3	2.3	พ่อไม่เคยนับเลยลูก	somchai	พ่อไม่เคยนับเลยลูก	1.0
115	0.75	2.75	แอปยอนได้แค่ 2 ปีครับ	ton	แอปย้อนได้แค่สองปีครับ	0.98
115	2.75	4.75	104 ครั้งพอดีเลย	ton	หนึ่งร้อยสี่ครั้งพอดีเลย	0.86
115	5.75	7.75	ก่อนนั้นไม่มีใครรู้เลยครับ	ton	ก่อนหน้านั้นไม่มีใครรู้เลยครับ	0.93
116	0.14	3.74	พื้อหัด วันพื้อหัดโลก	ya	...พฤ... หัส...	0.24
116			(ไม่ได้ยิน)	ya	...วัน... พฤหัส... ลูก...	0.0
117	0.24	2.24	ย่าพูดอะไรนะครับ	ton	ย่าพูดอะไรนะครับ	1.0
117	2.24	4.24	ย่า...นับ	ya	...ย่า... นับ... ไว้...	0.8
118	0.85	2.85	นับอะไรครับย้า	ton	นับอะไรครับย่า	0.93
118	2.85	3.85	ที่เตียง	ya	...ที่... เตียง...	1.0
119	0.37	2.37	อะไรอยู่ตรงนี้	ton	อะไรอยู่ตรงนี้...	1.0
119	2.37	5.37	ร้อยคิด ยากคิดไว้ทุกอธิดหรือครับ	ton	รอยขีด... ย่าขีดไว้ทุกอาทิตย์เหรอครับ	0.69
120	0.0	8.92	10.20.30.40.50.90.100.104.100 พอดีเลยครับย่ะ	ton	สิบ ยี่สิบ สามสิบ สี่สิบ ห้าสิบ	0.19
120			(ไม่ได้ยิน)	ton	เก้าสิบ ร้อย	0.0
120			(ไม่ได้ยิน)	ton	หนึ่งร้อยสี่รอยพอดีเลยครับย่า	0.0
121	0.59	5.59	104 ที่นี่ บวก 104 ในแอป 208 งวดครับ	ton	ร้อยสี่ที่นี่ บวกร้อยสี่ในแอป	0.51
121			(ไม่ได้ยิน)	ton	สองร้อยแปดงวดครับ	0.0
122	0.0	2.0	208 งวด	somchai	สองร้อยแปดงวด...	0.74
122	2.0	4.0	208	somchai	สองร้อยแปด...	0.67
123	0.0	2.0	นี่พ่อร้อย 50 งวดครับ	ton	หนี้พ่อร้อยห้าสิบงวดครับ	0.78
123	2.66	4.66	พ่อจ่ายเกินมา 58 งวด	ton	พ่อจ่ายเกินมาห้าสิบแปดงวด	0.94
123	5.0	7.0	1 1006,000 บาทครับพ่อ	ton	หนึ่งแสนหนึ่งหมื่นหกพันบาทครับพ่อ	0.5
124	0.66	2.66	นี่พ่อหมดตั้งจากปีที่แล้วละครับ	ton	หนี้พ่อหมดตั้งแต่ปีที่แล้วแล้วครับ	0.8
124	2.66	4.66	ปีที่แล้วครับพ่อ	ton	ปีที่แล้วครับพ่อ	1.0
125	1.62	3.62	ไม่นับทำไมครับ	somchai	แม่นับทำไมครับ	0.93
125	3.62	5.62	กลัวลูกจำไม่ได้	ya	...กลัว... ลูก... จำ... ไม่ได้...	1.0
126	1.04	3.7	เชิญครับ ผมมาคุยด้วยหน่อยครับ	somchai	เชิดครับ	0.39
126			(ไม่ได้ยิน)	somchai	ผมมาคุยด้วยหน่อยครับ	0.0
127	1.07	3.73	มาแล้วเหรอครับพี่? คิดได้แล้วใช่ไหมครับ?	cherd	มาแล้วเหรอครับพี่ คิดได้แล้วใช่ไหมครับ	1.0
127	4.23	6.23	208 ว่าดครับ	somchai	สองร้อยแปดงวดครับ	0.72
128	0.53	2.53	นี่ผม150 งวด	cherd	อะไรนะครับพี่	0.18
128	3.53	4.53	อะไรนะครับพี่	somchai	หนี้ผมร้อยห้าสิบงวด ผมจ่ายมาสองร้อยแปดครับ	0.22
128	4.53	7.53	ผมจ่ายมา 208 ครับ			0.0
129	0.98	2.98	พี่เอาตัวเล็กมาจะไหนครับ	cherd	พี่เอาตัวเลขมาจากไหนครับ	0.88
129	2.98	5.98	จากคนที่นับให้ผมทุกอธิตตั้งแต่วันแรกครับ	somchai	จากคนที่นับให้ผมทุกอาทิตย์ ตั้งแต่วันแรกครับ	0.94
129	5.98	8.98	แล้วพี่มีอะไรในมือบ้างละครับ	cherd	แล้วพี่มีอะไรในมือบ้างล่ะครับ	0.98
130	0.62	1.62	ไม่มีครับ	somchai	ไม่มีครับ	1.0
130	2.62	4.62	งั้นพี่จะทำอะไรได้ครับ	cherd	งั้นพี่จะทำอะไรได้ครับ	1.0
131	0.18	2.18	ไม่ทำอะไรเลยครับ	somchai	ไม่ทำอะไรเลยครับ	1.0
131	2.18	4.18	ผมแค่จะไม่จ่ายอีกแล้ว	somchai	ผมแค่จะไม่จ่ายอีกแล้ว	1.0
132	0.08	2.08	พี่อาจจะเสียใจที่หลังนะครับ	cherd	พี่อาจจะเสียใจทีหลังนะครับ	0.98
132	2.68	4.68	ผมเป็นห่วงพี่จริงจริงนะ	cherd	ผมเป็นห่วงพี่จริงๆนะ	0.88
133	1.01	4.01	เช้านี้ยังไม่มีใครเข้าเลย เข้าเลยเหรอพี่	muay	เช้านี้ยังไม่มีใครเข้าเลยเหรอพี่	0.9
133	4.29	6.11	3 วันแล้วครับเจ๊	somchai	สามวันแล้วครับเจ๊	1.0
134	1.14	4.14	เขาพูดกันทั้งตลาดว่า ร้านพี่มีปัญหา	muay	เขาพูดกันทั้งตลาดว่าร้านพี่มีปัญหา	1.0
134	4.14	6.14	ผมรู้ครับเจ๊	somchai	ผมรู้ครับเจ๊	1.0
135	0.88	4.88	ใครพูดเหรอพี่ คนที่ผมเลิกจ่ายเค้าแล้วครับ	muay	ใครพูดล่ะพี่	0.35
135			(ไม่ได้ยิน)	somchai	คนที่ผมเลิกจ่ายเขาแล้วครับ	0.0
136	0.66	3.66	พ่อ เมื่อคืนมีคนมาข้อประตูหลังครับ	ton	พ่อ เมื่อคืนมีคนมาเคาะประตูหลังครับ	0.9
136	3.66	5.66	อย่าเปิดนะลูก	somchai	อย่าเปิดนะลูก	1.0
137	0.75	2.75	ยาตื่นทั้งคืนเลยครับ พ่อ	ton	ย่าตื่นทั้งคืนเลยครับพ่อ	0.98
137	3.75	5.75	พรุ่งนี้ผมจะไปหาพี่วิทย์ครับ	ton	พรุ่งนี้ผมจะไปหาพี่วิทย์ครับ	1.0
138	0.78	4.62	ย่าครับ ขอถ่ายรูปเตียงย่าหน่อยนะครับ	ton	ย่าครับ ขอถ่ายรูปเตียงย่าหน่อยนะครับ	1.0
138	4.62	7.02	จะถ่ายเตียงทำไมล่ะลูก	ya	จะถ่ายเตียงทำไมล่ะลูก	1.0
139	0.53	2.53	100-400 เพราะดีครับ	ton	ร้อยสี่รอยพอดีครับ	0.41
139	3.53	6.53	ยานับให้พ่อมา 8 ปีเต็ม ไม่มีใครรู้เลย	ton	ย่านับให้พ่อมาแปดปีเต็ม ไม่มีใครรู้เลย	0.99
140	0.0	3.66	ย่าไม่ได้ทำอะไรเลยนะ ลูก ย่าแค่นับ	ya	ย่าไม่ได้ทำอะไรเลยนะลูก	0.84
140	3.66	5.86	ย่านับให้เราทั้งบ้านเลยครับ	ya	ย่าแค่นับ	0.33
140			(ไม่ได้ยิน)	ton	ย่านับให้เราทั้งบ้านเลยครับ	0.0
141	0.0	3.76	ได้ยินประตูหลัง เปิดที่ไหล ยาก็ขีดที่หนึ่ง	ya	ได้ยินประตูหลังเปิดทีไร ย่าก็ขีดทีหนึ่ง	0.9
141	3.76	5.64	ยากจำได้ทุกครั้งเลยเหรอครับ	ya	ย่านอนอยู่ตรงนี้ ย่าได้ยินหมดแหละลูก	0.19
141	5.64	9.96	ยากนอนอยู่ตรงนี้ ยากได้ยิน ยากได้ยินหมดแล้วลูก	ton	ย่าจำได้ทุกครั้งเลยเหรอครับ	0.2
142	0.18	3.18	ลูกจะเอาร้อยคิดไปให้ใครดูล่ะ	somchai	ลูกจะเอารอยขีดไปให้ใครดูล่ะ	0.91
142	3.18	7.02	ให้คนที่เขาดูเป็นครับพ่อ	ton	ให้คนที่เขาดูเป็นครับพ่อ	1.0
143	1.23	3.23	ไม่มีใครเชื่อคนแกะหลอกลูก	somchai	ไม่มีใครเชื่อคนแก่หรอกลูก	0.92
143	4.23	5.23	ผมเชื่อครับพ่อ	ton	ผมเชื่อครับพ่อ	1.0
143	6.23	7.23	ผมเชื่อครับพ่อ			0.0
144	1.49	4.77	พี่วิตดูรูปนี้หน่อยครับ	ton	พี่วิทย์ดูรูปนี้หน่อยครับ	0.92
144	4.77	6.77	นี่รอยอะไรครับ ๆ	wit	นี่รอยอะไรครับ	0.97
145	0.43	3.43	ย่าผมคิดไว้ทุกครั้ง ที่มีคนมาเก็บเงินครับ	ton	ย่าผมขีดไว้ทุกครั้งที่มีคนมาเก็บเงินครับ	0.95
145	3.43	5.43	คิดมาตั้งแต่เมื่อไหร่ครับ	wit	ขีดมาตั้งแต่เมื่อไหร่ครับ	0.92
146	0.05	3.05	ตั้งแต่วันแรกครับ 100-400 พอดี	ton	ตั้งแต่วันแรกครับ ร้อยสี่รอยพอดี	0.64
146	3.05	5.05	แล้วใน App ทนาคารละครับ	wit	แล้วในแอปธนาคารล่ะครับ	0.79
146	5.05	8.05	อีก 104 ครั้งครับ รวม 208	ton	อีกร้อยสี่ครั้งครับ รวมสองร้อยแปด	0.73
147	1.01	3.01	ร้อยคิดอย่างเดียวใช้ไม่ได้หรอกครับ	wit	รอยขีดอย่างเดียวใช้ไม่ได้หรอกครับ	0.93
147	5.01	6.01	แล้วแบบนี้ละครับ	ton	แล้วแบบนี้ล่ะครับ	0.97
148	0.0	3.24	แต่ร้อยคิดที่ตรงกับวันโอนเงินทุกครั้ง	wit	แต่รอยขีดที่ตรงกับวันโอนเงินทุกครั้ง อันนี้ใช้ได้ครับ	0.76
148	3.24	4.7	อันนี้ใช้ได้ครับ	wit	สองร้อยแปดครั้ง มันมากเกินไปครับ	0.38
148	4.7	7.7	208 ครั้งมันมากเกินไปครับ			0.0
149	0.66	3.66	ลุ้มครับ เค้าเคยบอกลุ้มไหมว่าเงินใคร	wit	ลุงครับ เขาเคยบอกลุงไหมว่าเงินใคร	0.87
149	3.66	7.66	เค้าบอกว่าเงินเขาเองครับ ไม่มีเจ้านาย	somchai	เขาบอกว่าเงินเขาเองครับ ไม่มีเจ้านาย	0.96
150	1.14	3.14	นั่นหระครับ ที่ไม่จริง	wit	นั่นแหละครับที่ไม่จริง	0.93
150	3.78	5.78	แล้วเงินเป็นของใครครับ	somchai	แล้วเงินเป็นของใครครับ	1.0
151	1.01	3.01	ผมขอให้ลุงนัดเขาอีกครั้งเดียวครับ	wit	ผมขอให้ลุงนัดเขาอีกครั้งเดียวครับ	1.0
151	5.38	6.38	ได้ครับ	somchai	ได้ครับ	1.0
152	0.02	3.26	ครั้งสุดท้ายแล้วนะ 8 ปีแล้ว	somchai	ครั้งสุดท้ายแล้วนะ	0.8
152	3.36	5.46	วันนี้ผมจะถามเขาสักคำ	somchai	แปดปีแล้ว วันนี้ผมจะถามเขาสักคำ	0.82
153	1.23	3.73	ผมดีใจนะครับ ที่พี่เปลี่ยนใจ	cherd	ผมดีใจนะครับที่พี่เปลี่ยนใจ	1.0
153	4.73	6.73	ผมขอดูบันชีก่อนครับ	somchai	ผมขอดูบัญชีก่อนครับ	0.95
154	0.0	2.8	- พี่ไม่เคยขอดูมา 8 ปีนะครับ	cherd	พี่ไม่เคยขอดูมาแปดปีนะครับ	0.98
154	2.8	5.1	- วันนี้ผมขอครับ	somchai	วันนี้ผมขอครับ	0.97
154	5.1	7.8	- ผมไม่ได้จดครับพี่ ผมจำเอา	cherd	ผมไม่ได้จดครับพี่ ผมจำเอา	0.98
155	1.94	5.94	งั้นผมจดให้ครับ 208 ครั้งครับ	somchai	งั้นผมจดให้ครับ	0.6
155			(ไม่ได้ยิน)	somchai	สองร้อยแปดครั้งครับ	0.0
156	0.94	2.94	ผมขอเชิญคุณไปคุยที่สถานี้ครับ	wit	ผมขอเชิญคุณไปคุยที่สถานีครับ	0.98
156	3.94	4.94	ผมแค่เก็บให้เขาครับ	cherd	ผมแค่เก็บให้เขาครับ	1.0
156	5.94	6.94	ผมไม่ใช่เจ้าของเงินนะครับ	cherd	ผมไม่ใช่เจ้าของเงินนะครับ	1.0
157	0.91	3.57	ร้านพี่คนแน่นทุกวันเลยนะ	muay	ร้านพี่คนแน่นทุกวันเลยนะ	1.0
157	4.57	6.55	คอยอย่างชั่วแล้วครับเจ้	somchai	ค่อยยังชั่วแล้วครับเจ๊	0.84
158	1.33	3.33	แล้วเรื่องที่สานเหรอพี่	muay	แล้วเรื่องที่ศาลล่ะพี่	0.76
158	3.33	6.96	ตัดสิ้นไปเมื่อเดือนที่แล้วครับ	somchai	ตัดสินไปเมื่อเดือนที่แล้วครับ	0.98
159	0.75	2.75	แล้วพี่ได้เงินคืนไหมล่ะ	muay	แล้วพี่ได้เงินคืนไหมล่ะ	1.0
159	2.75	5.25	ได้คืนไม่หมดแล้วครับเจ๊	somchai	ได้คืนไม่หมดหรอกครับเจ๊	0.83
159	5.25	7.25	แต่ผมนอนหลับแล้วครับ	somchai	แต่ผมนอนหลับแล้วครับ	1.0
160	0.0	1.46	นั่นอะไรน่ะต้น	muay	นั่นอะไรน่ะต้น	1.0
160	1.8	3.76	สมุดบันชีร้านครับเจ๊	ton	สมุดบัญชีร้านครับเจ๊	0.95
160	4.32	7.2	ผมจดเองทุกวันตั้งแต่ปีที่แล้ว	ton	ผมจดเองทุกวันตั้งแต่ปีที่แล้ว	1.0
161	0.98	2.7	- จดทุกบาทเลยเหรอ?	muay	จดทุกบาทเลยเหรอ	0.97
161	3.7	6.9	- ทุกบาทครับ ใครอยากดูกก็ดูได้	ton	ทุกบาทครับ ใครอยากดูก็ดูได้	0.96
162	0.72	2.72	เจ็ก็อยากมีสักเลมเหมือนกัน	muay	เจ๊ก็อยากมีสักเล่มเหมือนกัน	0.94
162	4.88	6.38	เดี๋ยวผมสอนให้ครับเจ๊	ton	เดี๋ยวผมสอนให้ครับเจ๊	1.0
163	0.66	3.66	เจ๊ลูกจักคนหนึ่ง กำลังจะไปยืมเขาอยู่	muay	เจ๊รู้จักคนนึงกำลังจะไปยืมเขาอยู่	0.91
163	4.16	6.16	พาเขามาคุยกับพ่อผมก่อนครับ	ton	พาเขามาคุยกับพ่อผมก่อนครับ	1.0
163	6.16	8.66	พ่อผมเล่าให้ฟังได้ทั้งวันเลยครับ	ton	พ่อผมเล่าให้ฟังได้ทั้งวันเลยครับ	1.0
164	1.17	3.17	เงียบจังเลยนะห้องนี้	somchai	เงียบจังเลยนะห้องนี้	1.0
164	4.17	7.17	ผมยังเพิ่อเดินขึ้นมาทุกเช้าเลยแม่	somchai	ผมยังเผลอเดินขึ้นมาทุกเช้าเลยแม่	0.92
165	0.69	2.69	ไม่นับไว้ให้ผมหมดเลยนะ	somchai	แม่นับไว้ให้ผมหมดเลยนะ	0.95
165	3.19	5.19	ผมไม่เคยรู้เลยสักครั้ง	somchai	ผมไม่เคยรู้เลยสักครั้ง	1.0
166	0.91	2.91	พ่อยังไม่ท้าสีทับเหรอครับ	ton	พ่อยังไม่ทาสีทับเหรอครับ	0.98
166	2.91	4.91	ไม่ท้าหลอกลูก	somchai	ไม่ทาหรอกลูก	0.88
167	1.17	5.17	ยาไม่อยู่แล้ว แต่ลอยยังอยู่	somchai	ย่าไม่อยู่แล้ว แต่รอยยังอยู่	0.94
167	5.17	7.67	นี่บันชีเร็มแรกของบ้านเรานะลูก	somchai	นี่บัญชีเล่มแรกของบ้านเรานะลูก	0.9
168	1.74	3.74	พ่อครับ ผมขอถามอะไรสักอย่าง	ton	พ่อครับ ผมขอถามอะไรสักอย่าง	1.0
168	3.74	5.74	ถามมาสิลูก	somchai	ถามมาสิลูก	1.0
169	1.14	5.14	ตอนนั้นพ่อบอกผมว่า ไม่ต้องรู้ว่าเงินมาจากไหน	ton	ตอนนั้นพ่อบอกผมว่าไม่ต้องรู้ว่าเงินมาจากไหน	1.0
169	5.14	7.14	พ่อจำได้ลูก	somchai	พ่อจำได้ลูก	1.0
170	0.0	2.4	ผมอยากรู้ครับ พ่อ ทุกบาทเลย	ton	ผมอยากรู้ครับพ่อ ทุกบาทเลย	1.0
170	3.4	5.8	พ่อก็อยากให้ลูกรู้เหมือนกัน ลูก	somchai	พ่อก็อยากให้ลูกรู้เหมือนกันลูก	1.0
171	0.5	3.14	เงินที่พ่อตั้งใจหามาให้ลูก	somchai	เงินที่พ่อตั้งใจหามาให้ลูก	1.0
171	3.14	6.14	มันไม่ควรต้องปิดบังลูกเลยสักบาทเดียว	somchai	มันไม่ควรต้องปิดบังลูกเลยสักบาทเดียว	1.0
172	1.01	3.01	วันนี้ได้ 3800 บาทครับพ่อ	ton	วันนี้ได้สามพันแปดร้อยบาทครับพ่อ	0.78
172	4.01	5.01	จดแล้วนะครับ	ton	จดแล้วนะครับ	1.0
173	0.72	4.72	จดไว้ถือลูก ต่อไปใครถามอะไร เราตอบได้หมด	somchai	จดไว้เถอะลูก	0.4
173			(ไม่ได้ยิน)	somchai	ต่อไปใครถามอะไร เราตอบได้หมด	0.0
